"Item","Country","Element","Unit","Y2009","Y2010","Y2011","Average","Region","Region_crops"
"Apples","Albania","Food supply quantity (g/capita/day)","g/capita/day",49,59,61,56.33333333,"Europe","Europe"
"Apples","Albania","Food supply quantity (g/capita/day)","g/capita/day",49,59,61,56.33333333,"Europe","Europe"
"Apples","Albania","Food supply quantity (g/capita/day)","g/capita/day",49,59,61,56.33333333,"Europe","Europe"
"Apples","Albania","Food supply quantity (g/capita/day)","g/capita/day",49,59,61,56.33333333,"Europe","Europe"
"Apples","Spain","Food supply quantity (g/capita/day)","g/capita/day",34,33,33,33.33333333,"Europe","Europe"
"Apples","Spain","Food supply quantity (g/capita/day)","g/capita/day",34,33,33,33.33333333,"Europe","Europe"
"Apples","Spain","Food supply quantity (g/capita/day)","g/capita/day",34,33,33,33.33333333,"Europe","Europe"
"Apples","Spain","Food supply quantity (g/capita/day)","g/capita/day",34,33,33,33.33333333,"Europe","Europe"
"Apples","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Spain","Protein supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
"Apples","Norway","Food supply quantity (g/capita/day)","g/capita/day",95,95,94,94.66666667,"Europe","Europe"
"Apples","Norway","Food supply quantity (g/capita/day)","g/capita/day",95,95,94,94.66666667,"Europe","Europe"
"Apples","Norway","Food supply quantity (g/capita/day)","g/capita/day",95,95,94,94.66666667,"Europe","Europe"
"Apples","Norway","Food supply quantity (g/capita/day)","g/capita/day",95,95,94,94.66666667,"Europe","Europe"
"Apples","Spain","Food supply (kcal/capita/day)","kcal/capita/day",17,16,16,16.33333333,"Europe","Europe"
"Apples","Spain","Food supply (kcal/capita/day)","kcal/capita/day",17,16,16,16.33333333,"Europe","Europe"
"Apples","Spain","Food supply (kcal/capita/day)","kcal/capita/day",17,16,16,16.33333333,"Europe","Europe"
"Apples","Spain","Food supply (kcal/capita/day)","kcal/capita/day",17,16,16,16.33333333,"Europe","Europe"
"Apples","Czech Republic","Fat supply quantity (g/capita/day)","g/capita/day",0.1,0.1,0.1,0.1,"Europe","Europe"
