"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa_Central","Afghanistan","Fat supply quantity (g/capita/day)",5.7,6,5.3
"Africa_Central","Afghanistan","Food supply (kcal/capita/day)",227,231,237
"Africa_Central","Afghanistan","Food supply quantity (g/capita/day)",54,55,58
"Africa_Central","Afghanistan","Protein supply quantity (g/capita/day)",4.8,4.5,5
"Africa_Central","Albania","Fat supply quantity (g/capita/day)",0.1,0.2,0.1
"Africa_Central","Albania","Food supply (kcal/capita/day)",71,73,64
"Africa_Central","Albania","Food supply quantity (g/capita/day)",27,28,25
"Africa_Central","Albania","Protein supply quantity (g/capita/day)",1.9,1.9,1.8
"Africa_Central","Algeria","Fat supply quantity (g/capita/day)",2.5,2.1,1.9
"Africa_Central","Algeria","Food supply (kcal/capita/day)",82,93,90
"Africa_Central","Algeria","Food supply quantity (g/capita/day)",28,29,32
"Africa_Central","Algeria","Protein supply quantity (g/capita/day)",3.6,4,4.4
"Africa_Central","Angola","Fat supply quantity (g/capita/day)",9.9,9.6,9.2
"Africa_Central","Angola","Food supply (kcal/capita/day)",161,158,156
"Africa_Central","Angola","Food supply quantity (g/capita/day)",32,35,36
"Africa_Central","Angola","Protein supply quantity (g/capita/day)",1.5,1.8,1.8
"Africa_Central","Antigua and Barbuda","Fat supply quantity (g/capita/day)",0.5,0.5,0.5
"Africa_Central","Antigua and Barbuda","Food supply (kcal/capita/day)",131,130,133
"Africa_Central","Antigua and Barbuda","Food supply quantity (g/capita/day)",32,34,40
"Africa_Central","Antigua and Barbuda","Protein supply quantity (g/capita/day)",3.1,3.1,3.4
"Africa_Central","Argentina","Fat supply quantity (g/capita/day)",0.4,0.5,0.4
"Africa_Central","Argentina","Food supply (kcal/capita/day)",86,94,87
"Africa_Central","Argentina","Food supply quantity (g/capita/day)",25,27,25
"Africa_Central","Argentina","Protein supply quantity (g/capita/day)",2.1,2.2,2.1
"Africa_Central","Armenia","Fat supply quantity (g/capita/day)",0.2,0.2,0.1
"Africa_Central","Armenia","Food supply (kcal/capita/day)",52,46,39
"Africa_Central","Armenia","Food supply quantity (g/capita/day)",20,21,19
"Africa_Central","Armenia","Protein supply quantity (g/capita/day)",1.5,1.4,1.3
"Africa_Central","Australia","Fat supply quantity (g/capita/day)",18.3,14.7,12.9
"Africa_Central","Australia","Food supply (kcal/capita/day)",282,253,228
"Africa_Central","Australia","Food supply quantity (g/capita/day)",67,64,60
"Africa_Central","Australia","Protein supply quantity (g/capita/day)",3.4,3.5,3.2
"Africa_Central","Austria","Fat supply quantity (g/capita/day)",2.5,2.4,2.4
"Africa_Central","Austria","Food supply (kcal/capita/day)",66,63,67
"Africa_Central","Austria","Food supply quantity (g/capita/day)",31,28,34
"Africa_Central","Austria","Protein supply quantity (g/capita/day)",1.8,1.7,2
"Africa_Central","Azerbaijan","Fat supply quantity (g/capita/day)",0.6,0.1,0.1
"Africa_Central","Azerbaijan","Food supply (kcal/capita/day)",31,21,22
"Africa_Central","Azerbaijan","Food supply quantity (g/capita/day)",9,7,7
"Africa_Central","Azerbaijan","Protein supply quantity (g/capita/day)",0.5,0.4,0.4
"Africa_Central","Bahamas","Fat supply quantity (g/capita/day)",0.5,0.5,0.4
"Africa_Central","Bahamas","Food supply (kcal/capita/day)",228,222,219
"Africa_Central","Bahamas","Food supply quantity (g/capita/day)",79,64,63
"Africa_Central","Bahamas","Protein supply quantity (g/capita/day)",5.1,4.8,4.7
"Africa_Central","Bangladesh","Fat supply quantity (g/capita/day)",12.2,12.1,12
"Africa_Central","Bangladesh","Food supply (kcal/capita/day)",1826,1820,1811
"Africa_Central","Bangladesh","Food supply quantity (g/capita/day)",490,489,487
"Africa_Central","Bangladesh","Protein supply quantity (g/capita/day)",34.1,34,33.5
"Africa_Central","Barbados","Fat supply quantity (g/capita/day)",0.9,0.9,0.9
"Africa_Central","Barbados","Food supply (kcal/capita/day)",198,224,238
"Africa_Central","Barbados","Food supply quantity (g/capita/day)",57,64,68
"Africa_Central","Barbados","Protein supply quantity (g/capita/day)",5.8,6.8,7.5
"Africa_Central","Belarus","Fat supply quantity (g/capita/day)",0.1,0.1,0.1
"Africa_Central","Belarus","Food supply (kcal/capita/day)",30,33,31
"Africa_Central","Belarus","Food supply quantity (g/capita/day)",12,13,11
"Africa_Central","Belarus","Protein supply quantity (g/capita/day)",0.6,0.7,0.6
"Africa_Central","Belgium","Fat supply quantity (g/capita/day)",25.6,19.2,16
"Africa_Central","Belgium","Food supply (kcal/capita/day)",335,274,237
"Africa_Central","Belgium","Food supply quantity (g/capita/day)",69,61,54
"Africa_Central","Belgium","Protein supply quantity (g/capita/day)",3,2.8,2.5
"Africa_Central","Belize","Fat supply quantity (g/capita/day)",0.8,0.9,0.9
"Africa_Central","Belize","Food supply (kcal/capita/day)",356,352,335
