"Region_crops","Country","Element","Y2009","Y2010","Y2011"
"Africa","Afghanistan","Fat supply quantity (g/capita/day)",7.2,7.5,6.8
"Africa","Afghanistan","Food supply (kcal/capita/day)",246,250,255
"Africa","Afghanistan","Food supply quantity (g/capita/day)",58,58,61
"Africa","Afghanistan","Protein supply quantity (g/capita/day)",5.2,4.9,5.4
"Africa","Albania","Fat supply quantity (g/capita/day)",8.5,7.8,7.4
"Africa","Albania","Food supply (kcal/capita/day)",152,146,134
"Africa","Albania","Food supply quantity (g/capita/day)",91,84,78
"Africa","Albania","Protein supply quantity (g/capita/day)",2.6,2.5,2.4
"Africa","Algeria","Fat supply quantity (g/capita/day)",7.3,5.3,6.6
"Africa","Algeria","Food supply (kcal/capita/day)",129,125,135
"Africa","Algeria","Food supply quantity (g/capita/day)",39,36,43
"Africa","Algeria","Protein supply quantity (g/capita/day)",4,4.3,4.8
"Africa","Angola","Fat supply quantity (g/capita/day)",10.6,10.3,10.1
"Africa","Angola","Food supply (kcal/capita/day)",183,180,183
"Africa","Angola","Food supply quantity (g/capita/day)",37,41,42
"Africa","Angola","Protein supply quantity (g/capita/day)",1.9,2.2,2.2
"Africa","Antigua and Barbuda","Fat supply quantity (g/capita/day)",1.4,1.6,2
"Africa","Antigua and Barbuda","Food supply (kcal/capita/day)",144,148,157
"Africa","Antigua and Barbuda","Food supply quantity (g/capita/day)",37,40,48
"Africa","Antigua and Barbuda","Protein supply quantity (g/capita/day)",3.4,3.5,3.9
"Africa","Argentina","Fat supply quantity (g/capita/day)",1.2,1.3,1.1
"Africa","Argentina","Food supply (kcal/capita/day)",92,101,93
"Africa","Argentina","Food supply quantity (g/capita/day)",25,27,25
"Africa","Argentina","Protein supply quantity (g/capita/day)",2.1,2.2,2.1
"Africa","Armenia","Fat supply quantity (g/capita/day)",0.6,1,0.5
"Africa","Armenia","Food supply (kcal/capita/day)",56,54,43
"Africa","Armenia","Food supply quantity (g/capita/day)",22,24,22
"Africa","Armenia","Protein supply quantity (g/capita/day)",1.5,1.6,1.3
"Africa","Australia","Fat supply quantity (g/capita/day)",29.3,26.6,26.3
"Africa","Australia","Food supply (kcal/capita/day)",384,365,368
"Africa","Australia","Food supply quantity (g/capita/day)",84,83,85
"Africa","Australia","Protein supply quantity (g/capita/day)",3.9,4,4.7
"Africa","Austria","Fat supply quantity (g/capita/day)",6.3,6,6
