"Element","Item","Average","R_origin","R_recipients"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.15268672278656,"Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","NA",NA,"Africa_Indian_Ocean_Islands","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_Caribbean","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Maize",3.21904579162726,"America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_North","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_South_andean","Africa_Central"
"Fat supply quantity (g/capita/day)","Tea",0,"America_South_temperate","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Groundnut",10.3646207070345,"America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Soybean",4.11010981940229,"Asia_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.15268672278656,"Asia_South","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Southeast","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.15268672278656,"Asia_West","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_north","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_south","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_north","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_south","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Mediterranean_SouthandEast","Africa_Central"
"Fat supply quantity (g/capita/day)","NA",NA,"Pacific_Region_ausnz","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Pacific_Region_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822,"Africa_Central","Africa_East"
"Fat supply quantity (g/capita/day)","Sorghum",2.46749892624421,"Africa_Central","Africa_East"
"Fat supply quantity (g/capita/day)","Sorghum",2.46749892624421,"Africa_East","Africa_East"
"Fat supply quantity (g/capita/day)","Sesame",2.27663960917188,"Africa_East","Africa_East"
"Fat supply quantity (g/capita/day)","NA",NA,"Africa_Indian_Ocean_Islands","Africa_East"
"Fat supply quantity (g/capita/day)","Sorghum",2.46749892624421,"Africa_Southern","Africa_East"
"Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822,"Africa_West","Africa_East"
"Fat supply quantity (g/capita/day)","Sorghum",2.46749892624421,"Africa_West","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"America_Caribbean","Africa_East"
"Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822,"America_Central_and_Mexico","Africa_East"
"Fat supply quantity (g/capita/day)","Maize",2.59596547295266,"America_Central_and_Mexico","Africa_East"
"Fat supply quantity (g/capita/day)","Sunflower",1.88122674302956,"America_North","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"America_South_andean","Africa_East"
"Fat supply quantity (g/capita/day)","Tea",0,"America_South_temperate","Africa_East"
"Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822,"America_South_tropical","Africa_East"
"Fat supply quantity (g/capita/day)","Groundnut",2.79981581367827,"America_South_tropical","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Central","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_East","Africa_East"
"Fat supply quantity (g/capita/day)","Sesame",2.27663960917188,"Asia_South","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Southeast","Africa_East"
"Fat supply quantity (g/capita/day)","Sesame",2.27663960917188,"Asia_West","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_north","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_south","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_north","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_south","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Mediterranean_SouthandEast","Africa_East"
"Fat supply quantity (g/capita/day)","NA",NA,"Pacific_Region_ausnz","Africa_East"
"Fat supply quantity (g/capita/day)",NA,NA,"Pacific_Region_tropical","Africa_East"
"Fat supply quantity (g/capita/day)","Rice",3.73083587259917,"Africa_Central","Africa_Indian_Ocean_Islands"
"Fat supply quantity (g/capita/day)",NA,NA,"Africa_East","Africa_Indian_Ocean_Islands"
"Fat supply quantity (g/capita/day)","NA",NA,"Africa_Indian_Ocean_Islands","Africa_Indian_Ocean_Islands"
"Fat supply quantity (g/capita/day)",NA,NA,"Africa_Southern","Africa_Indian_Ocean_Islands"
"Fat supply quantity (g/capita/day)","Rice",3.73083587259917,"Africa_West","Africa_Indian_Ocean_Islands"
"Fat supply quantity (g/capita/day)",NA,NA,"America_Caribbean","Africa_Indian_Ocean_Islands"
