"Element","Item","Average","R_origin","R_recipients"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"Africa_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.20009969555739,"Africa_East","Africa_Central"
"Fat supply quantity (g/capita/day)","NA",NA,"Africa_Indian_Ocean_Islands","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Africa_Southern","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"Africa_West","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_Caribbean","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)","Maize",3.21904579162726,"America_Central_and_Mexico","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_North","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"America_South_andean","Africa_Central"
"Fat supply quantity (g/capita/day)","Tea",0,"America_South_temperate","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",12.2663217020162,"America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Groundnut",10.3646207070345,"America_South_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Central","Africa_Central"
"Fat supply quantity (g/capita/day)","Soybean",4.11010981940229,"Asia_East","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.20009969555739,"Asia_South","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Asia_Southeast","Africa_Central"
"Fat supply quantity (g/capita/day)","Sesame",1.20009969555739,"Asia_West","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_north","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Eastern_south","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_north","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Europe_Western_south","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Mediterranean_SouthandEast","Africa_Central"
"Fat supply quantity (g/capita/day)","NA",NA,"Pacific_Region_ausnz","Africa_Central"
"Fat supply quantity (g/capita/day)",NA,NA,"Pacific_Region_tropical","Africa_Central"
"Fat supply quantity (g/capita/day)","Palm oil",6.99175860190822,"Africa_Central","Africa_East"
