"Y2009","Y2010","Y2011","Country","Element"
46,46.1,46.8,"Afghanistan","Protein supply quantity (g/capita/day)"
47.9,50.9,52.5,"Albania","Protein supply quantity (g/capita/day)"
63.7,63.5,65.2,"Algeria","Protein supply quantity (g/capita/day)"
36.5,37.2,38.1,"Angola","Protein supply quantity (g/capita/day)"
24.6,24.6,26.8,"Antigua and Barbuda","Protein supply quantity (g/capita/day)"
35.2,35.5,35.2,"Argentina","Protein supply quantity (g/capita/day)"
46.7,44.9,46.2,"Armenia","Protein supply quantity (g/capita/day)"
35.8,34.9,34.7,"Australia","Protein supply quantity (g/capita/day)"
42.2,41,42.1,"Austria","Protein supply quantity (g/capita/day)"
60.8,60,59.6,"Azerbaijan","Protein supply quantity (g/capita/day)"
27.4,26.8,26.8,"Bahamas","Protein supply quantity (g/capita/day)"
46.3,45.9,44.9,"Bangladesh","Protein supply quantity (g/capita/day)"
36.8,39.1,39.6,"Barbados","Protein supply quantity (g/capita/day)"
38.9,40.1,41.3,"Belarus","Protein supply quantity (g/capita/day)"
39.6,43.3,41.8,"Belgium","Protein supply quantity (g/capita/day)"
42.9,44.2,42.9,"Belize","Protein supply quantity (g/capita/day)"
51.8,49.6,48,"Benin","Protein supply quantity (g/capita/day)"
26.6,28.2,26.7,"Bermuda","Protein supply quantity (g/capita/day)"
34.5,34.6,35.6,"Bolivia (Plurinational State of)","Protein supply quantity (g/capita/day)"
59.6,58.8,58.9,"Bosnia and Herzegovina","Protein supply quantity (g/capita/day)"
39.5,38.6,38.9,"Botswana","Protein supply quantity (g/capita/day)"
41.8,42.9,43.7,"Brazil","Protein supply quantity (g/capita/day)"
38.9,38.7,39.2,"Brunei Darussalam","Protein supply quantity (g/capita/day)"
41.8,44.1,44.9,"Bulgaria","Protein supply quantity (g/capita/day)"
67.8,68.3,66.7,"Burkina Faso","Protein supply quantity (g/capita/day)"
40.4,40.8,42.1,"Cabo Verde","Protein supply quantity (g/capita/day)"
44.1,44.9,45.6,"Cambodia","Protein supply quantity (g/capita/day)"
54.1,55,55.4,"Cameroon","Protein supply quantity (g/capita/day)"
45.5,46.8,45.2,"Canada","Protein supply quantity (g/capita/day)"
32.3,33,32.7,"Central African Republic","Protein supply quantity (g/capita/day)"
50.8,51.5,51.6,"Chad","Protein supply quantity (g/capita/day)"
40.8,42.2,42.4,"Chile","Protein supply quantity (g/capita/day)"
35,35.3,35.4,"China, Hong Kong SAR","Protein supply quantity (g/capita/day)"
30.2,30.3,31.9,"China, Macao SAR","Protein supply quantity (g/capita/day)"
56.2,58.1,58.2,"China, mainland","Protein supply quantity (g/capita/day)"
44.9,45.2,45.3,"China, Taiwan Province of","Protein supply quantity (g/capita/day)"
30.2,29.7,29,"Colombia","Protein supply quantity (g/capita/day)"
28.4,29.2,29.3,"Congo","Protein supply quantity (g/capita/day)"
36.2,36.8,37.7,"Costa Rica","Protein supply quantity (g/capita/day)"
42.6,42.8,43.2,"Côte d'Ivoire","Protein supply quantity (g/capita/day)"
37.6,36.6,36.4,"Croatia","Protein supply quantity (g/capita/day)"
55.1,48.9,54.1,"Cuba","Protein supply quantity (g/capita/day)"
31.6,32.5,31.7,"Cyprus","Protein supply quantity (g/capita/day)"
37.5,37,38.1,"Czech Republic","Protein supply quantity (g/capita/day)"
46.8,46.2,46.6,"Democratic People's Republic of Korea","Protein supply quantity (g/capita/day)"
39.8,41.8,39.4,"Denmark","Protein supply quantity (g/capita/day)"
