"Y2009","Y2010","Y2011","Country","Element"
40.6,39.9,40.3,"Afghanistan","Protein supply quantity (g/capita/day)"
0.9,0.8,0.8,"Albania","Protein supply quantity (g/capita/day)"
50.5,48.9,50.3,"Algeria","Protein supply quantity (g/capita/day)"
1.8,2.1,2.1,"Angola","Protein supply quantity (g/capita/day)"
0.1,0.1,0,"Antigua and Barbuda","Protein supply quantity (g/capita/day)"
1.3,1.5,1.7,"Argentina","Protein supply quantity (g/capita/day)"
32.1,32,31.8,"Armenia","Protein supply quantity (g/capita/day)"
0.8,0.9,1,"Austria","Protein supply quantity (g/capita/day)"
49.2,48.5,47.9,"Azerbaijan","Protein supply quantity (g/capita/day)"
0,0,0,"Bahamas","Protein supply quantity (g/capita/day)"
34.4,34.3,33.8,"Bangladesh","Protein supply quantity (g/capita/day)"
0.1,0.2,0.1,"Barbados","Protein supply quantity (g/capita/day)"
2.3,2.3,2.3,"Belarus","Protein supply quantity (g/capita/day)"
0.1,0.1,0,"Belgium","Protein supply quantity (g/capita/day)"
9.8,9.7,9.4,"Belize","Protein supply quantity (g/capita/day)"
21.3,21.3,21.6,"Benin","Protein supply quantity (g/capita/day)"
1,0.8,0.8,"Bermuda","Protein supply quantity (g/capita/day)"
5.1,6.3,7.3,"Bolivia (Plurinational State of)","Protein supply quantity (g/capita/day)"
0.6,0.5,0.5,"Bosnia and Herzegovina","Protein supply quantity (g/capita/day)"
7.1,7.5,7.2,"Botswana","Protein supply quantity (g/capita/day)"
1.7,1.8,1.9,"Brazil","Protein supply quantity (g/capita/day)"
13.9,14.1,14.2,"Brunei Darussalam","Protein supply quantity (g/capita/day)"
0.3,0.2,0.2,"Bulgaria","Protein supply quantity (g/capita/day)"
39.1,38.5,37.5,"Burkina Faso","Protein supply quantity (g/capita/day)"
11.2,11.3,12.4,"Cabo Verde","Protein supply quantity (g/capita/day)"
31.2,31.4,31.3,"Cambodia","Protein supply quantity (g/capita/day)"
15.5,15.7,16,"Cameroon","Protein supply quantity (g/capita/day)"
0.2,0.2,0.2,"Canada","Protein supply quantity (g/capita/day)"
7.8,8.7,8.8,"Central African Republic","Protein supply quantity (g/capita/day)"
23.6,24,24.6,"Chad","Protein supply quantity (g/capita/day)"
4.1,4.1,4.7,"Chile","Protein supply quantity (g/capita/day)"
11.4,11.3,11.5,"China, Hong Kong SAR","Protein supply quantity (g/capita/day)"
9.9,9.6,10.1,"China, Macao SAR","Protein supply quantity (g/capita/day)"
18.9,19.4,19.4,"China, mainland","Protein supply quantity (g/capita/day)"
20.3,20.5,20.4,"China, Taiwan Province of","Protein supply quantity (g/capita/day)"
5.6,5.2,5,"Colombia","Protein supply quantity (g/capita/day)"
3.6,3.8,3.8,"Congo","Protein supply quantity (g/capita/day)"
9.5,9.5,9.6,"Costa Rica","Protein supply quantity (g/capita/day)"
21.3,20.9,20.7,"Côte d'Ivoire","Protein supply quantity (g/capita/day)"
0.4,0.4,0.4,"Croatia","Protein supply quantity (g/capita/day)"
0.5,0.4,0.4,"Cuba","Protein supply quantity (g/capita/day)"
18.9,19.3,19.1,"Cyprus","Protein supply quantity (g/capita/day)"
0.4,0.4,0.3,"Czech Republic","Protein supply quantity (g/capita/day)"
16.2,16.2,16.3,"Democratic People's Republic of Korea","Protein supply quantity (g/capita/day)"
2.5,2.6,2.6,"Denmark","Protein supply quantity (g/capita/day)"
6.5,7.4,7.6,"Djibouti","Protein supply quantity (g/capita/day)"
2.2,2.4,2.3,"Dominica","Protein supply quantity (g/capita/day)"
0.1,0.1,0.1,"Dominican Republic","Protein supply quantity (g/capita/day)"
1.9,2.3,2.2,"Ecuador","Protein supply quantity (g/capita/day)"
