Item,Country,Element,Unit,Y2009,Y2010,Y2011,Average
Apples,Afghanistan,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Afghanistan,Food supply (kcal/capita/day),kcal/capita/day,3,3,3,3
Apples,Afghanistan,Food supply quantity (g/capita/day),g/capita/day,6,6,5,5.666666667
Apples,Afghanistan,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Albania,Fat supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Albania,Food supply (kcal/capita/day),kcal/capita/day,24,29,30,27.66666667
Apples,Albania,Food supply quantity (g/capita/day),g/capita/day,49,59,61,56.33333333
Apples,Albania,Protein supply quantity (g/capita/day),g/capita/day,0.2,0.2,0.2,0.2
Apples,Algeria,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Algeria,Food supply (kcal/capita/day),kcal/capita/day,13,16,18,15.66666667
Apples,Algeria,Food supply quantity (g/capita/day),g/capita/day,28,34,37,33
Apples,Algeria,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Angola,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Angola,Food supply (kcal/capita/day),kcal/capita/day,0,1,1,0.666666667
Apples,Angola,Food supply quantity (g/capita/day),g/capita/day,1,1,2,1.333333333
Apples,Angola,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Antigua and Barbuda,Fat supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Antigua and Barbuda,Food supply (kcal/capita/day),kcal/capita/day,3,2,6,3.666666667
Apples,Antigua and Barbuda,Food supply quantity (g/capita/day),g/capita/day,11,5,23,13
Apples,Antigua and Barbuda,Protein supply quantity (g/capita/day),g/capita/day,0,0,0,0
Apples,Argentina,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Argentina,Food supply (kcal/capita/day),kcal/capita/day,15,19,19,17.66666667
Apples,Argentina,Food supply quantity (g/capita/day),g/capita/day,32,39,39,36.66666667
Apples,Argentina,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Armenia,Fat supply quantity (g/capita/day),g/capita/day,0.3,0.1,0.2,0.2
Apples,Armenia,Food supply (kcal/capita/day),kcal/capita/day,43,18,26,29
Apples,Armenia,Food supply quantity (g/capita/day),g/capita/day,91,39,55,61.66666667
Apples,Armenia,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Australia,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Australia,Food supply (kcal/capita/day),kcal/capita/day,21,19,21,20.33333333
Apples,Australia,Food supply quantity (g/capita/day),g/capita/day,76,73,77,75.33333333
Apples,Australia,Protein supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Austria,Fat supply quantity (g/capita/day),g/capita/day,0.4,0.5,0.5,0.466666667
Apples,Austria,Food supply (kcal/capita/day),kcal/capita/day,58,63,70,63.66666667
Apples,Austria,Food supply quantity (g/capita/day),g/capita/day,122,131,145,132.6666667
Apples,Austria,Protein supply quantity (g/capita/day),g/capita/day,0.3,0.4,0.4,0.366666667
Apples,Azerbaijan,Fat supply quantity (g/capita/day),g/capita/day,0.1,0.1,0.1,0.1
Apples,Azerbaijan,Food supply (kcal/capita/day),kcal/capita/day,15,15,15,15
Apples,Azerbaijan,Food supply quantity (g/capita/day),g/capita/day,32,32,32,32
