"Y2009","Y2010","Y2011","Country","Element"
1869,1887,1892,"Afghanistan","Food supply (kcal/capita/day)"
2054,2107,2133,"Albania","Food supply (kcal/capita/day)"
2762,2790,2821,"Algeria","Food supply (kcal/capita/day)"
2087,2116,2150,"Angola","Food supply (kcal/capita/day)"
1507,1525,1570,"Antigua and Barbuda","Food supply (kcal/capita/day)"
2195,2212,2210,"Argentina","Food supply (kcal/capita/day)"
2137,2093,2110,"Armenia","Food supply (kcal/capita/day)"
2217,2206,2203,"Australia","Food supply (kcal/capita/day)"
2633,2598,2604,"Austria","Food supply (kcal/capita/day)"
2457,2456,2441,"Azerbaijan","Food supply (kcal/capita/day)"
1717,1734,1770,"Bahamas","Food supply (kcal/capita/day)"
2327,2329,2327,"Bangladesh","Food supply (kcal/capita/day)"
2287,2312,2322,"Barbados","Food supply (kcal/capita/day)"
2304,2325,2425,"Belarus","Food supply (kcal/capita/day)"
2611,2649,2610,"Belgium","Food supply (kcal/capita/day)"
2244,2274,2234,"Belize","Food supply (kcal/capita/day)"
2476,2437,2480,"Benin","Food supply (kcal/capita/day)"
1902,1950,1895,"Bermuda","Food supply (kcal/capita/day)"
1712,1723,1803,"Bolivia (Plurinational State of)","Food supply (kcal/capita/day)"
2557,2572,2589,"Bosnia and Herzegovina","Food supply (kcal/capita/day)"
1875,1922,1945,"Botswana","Food supply (kcal/capita/day)"
2428,2453,2484,"Brazil","Food supply (kcal/capita/day)"
2321,2320,2348,"Brunei Darussalam","Food supply (kcal/capita/day)"
2191,2148,2226,"Bulgaria","Food supply (kcal/capita/day)"
2460,2496,2481,"Burkina Faso","Food supply (kcal/capita/day)"
2020,2048,2069,"Cabo Verde","Food supply (kcal/capita/day)"
2187,2202,2192,"Cambodia","Food supply (kcal/capita/day)"
2347,2377,2431,"Cameroon","Food supply (kcal/capita/day)"
2482,2492,2489,"Canada","Food supply (kcal/capita/day)"
1848,1867,1853,"Central African Republic","Food supply (kcal/capita/day)"
1886,1918,1935,"Chad","Food supply (kcal/capita/day)"
2219,2248,2258,"Chile","Food supply (kcal/capita/day)"
2014,2040,2009,"China, Hong Kong SAR","Food supply (kcal/capita/day)"
1908,1901,1904,"China, Macao SAR","Food supply (kcal/capita/day)"
2320,2350,2382,"China, mainland","Food supply (kcal/capita/day)"
2271,2314,2292,"China, Taiwan Province of","Food supply (kcal/capita/day)"
2063,2064,2102,"Colombia","Food supply (kcal/capita/day)"
1960,1961,1958,"Congo","Food supply (kcal/capita/day)"
